        N   size[kB]     t[s]  op_per_sec[10^9]
      250        1.0  0.30878  0.323853
      276        1.1  0.30860  0.324041
      305        1.2  0.30815  0.324518
      337        1.3  0.30804  0.324628
      373        1.5  0.30909  0.323525
      412        1.6  0.30826  0.324397
      455        1.8  0.30871  0.323924
      503        2.0  0.30885  0.323783
      556        2.2  0.30856  0.324089
      615        2.4  0.30812  0.324553
      679        2.7  0.30892  0.323706
      751        2.9  0.30904  0.323580
      830        3.2  0.30959  0.323012
      917        3.6  0.30944  0.323163
     1014        4.0  0.30949  0.323109
     1121        4.4  0.30899  0.323636
     1238        4.8  0.30957  0.323027
     1369        5.3  0.30955  0.323051
     1513        5.9  0.30951  0.323091
     1672        6.5  0.30945  0.323150
     1848        7.2  0.31057  0.321988
     2043        8.0  0.30994  0.322641
     2258        8.8  0.30929  0.323319
     2495        9.7  0.31059  0.321965
     2758       10.8  0.31007  0.322509
     3048       11.9  0.31030  0.322272
     3369       13.2  0.31020  0.322377
     3723       14.5  0.31021  0.322366
     4115       16.1  0.30918  0.323436
     4548       17.8  0.30972  0.322875
     5026       19.6  0.31003  0.322548
     5555       21.7  0.31058  0.321979
     6140       24.0  0.31088  0.321665
     6786       26.5  0.31182  0.320699
     7500       29.3  0.31162  0.320904
     8289       32.4  0.31702  0.315435
     9161       35.8  0.33694  0.296791
    10125       39.6  0.35410  0.282407
    11190       43.7  0.37044  0.269948
    12367       48.3  0.38535  0.259505
    13668       53.4  0.39974  0.250162
    15106       59.0  0.41122  0.243176
    16696       65.2  0.42064  0.237735
    18452       72.1  0.42784  0.233731
    20394       79.7  0.43675  0.228965
    22539       88.0  0.47724  0.209538
    24911       97.3  0.48258  0.207220
    27532      107.5  0.48485  0.206247
    30429      118.9  0.48941  0.204327
    33630      131.4  0.51253  0.195110
    37168      145.2  0.51553  0.193976
    41079      160.5  0.51377  0.194638
    45401      177.3  0.52835  0.189269
    50177      196.0  0.59250  0.168775
    55456      216.6  0.63014  0.158694
    61291      239.4  0.67821  0.147447
    67740      264.6  0.71214  0.140423
    74867      292.4  0.77893  0.128381
    82743      323.2  0.82155  0.121721
    91449      357.2  0.86534  0.115561
   101070      394.8  0.90908  0.110001
   111704      436.3  0.94686  0.105612
   123456      482.2  0.99816  0.100184
   136445      533.0  1.03254  0.096848
   150800      589.1  1.09967  0.090937
   166666      651.0  1.11305  0.089843
   184201      719.5  1.14506  0.087332
   203581      795.2  1.18016  0.084734
   225000      878.9  1.20280  0.083139
   248672      971.4  1.24312  0.080443
   274835     1073.6  1.26403  0.079112
   303750     1186.5  1.28518  0.077810
   335708     1311.4  1.30196  0.076808
   371027     1449.3  1.31788  0.075880
   410063     1601.8  1.33567  0.074869
   453206     1770.3  1.34956  0.074098
   500888     1956.6  1.36444  0.073290
   553586     2162.4  1.38017  0.072455
   611829     2390.0  1.39274  0.071801
   676199     2641.4  1.43026  0.069917
   747342     2919.3  1.44296  0.069302
   825970     3226.4  1.50618  0.066393
   912870     3565.9  1.56667  0.063829
  1008913     3941.1  1.64430  0.060816
  1115061     4355.7  1.85422  0.053931
  1232376     4814.0  1.85923  0.053786
  1362035     5320.4  2.05164  0.048742
  1505334     5880.2  2.26778  0.044096
  1663710     6498.9  2.46220  0.040614
  1838749     7182.6  2.85098  0.035076
  2032203     7938.3  3.18609  0.031386
  2246011     8773.5  4.11513  0.024301
  2482314     9696.5  3.80167  0.026304
  2743478    10716.7  4.26809  0.023430
  3032119    11844.2  4.72490  0.021164
  3351127    13090.3  4.85217  0.020609
  3703699    14467.6  4.67125  0.021408
  4093365    15989.7  4.81573  0.020765
  4524027    17672.0  5.05556  0.019780
  5000000    19531.2  5.20852  0.019199


        N   size[kB]     t[s]  op_per_sec[10^9]
      250        1.0  0.30833  0.324333
      276        1.1  0.30861  0.324030
      305        1.2  0.30836  0.324292
      337        1.3  0.30875  0.323890
      373        1.5  0.30819  0.324475
      412        1.6  0.30875  0.323888
      455        1.8  0.30824  0.324420
      503        2.0  0.30878  0.323852
      556        2.2  0.30831  0.324344
      615        2.4  0.30774  0.324949
      679        2.7  0.30947  0.323138
      751        2.9  0.30939  0.323219
      830        3.2  0.30910  0.323519
      917        3.6  0.30970  0.322894
     1014        4.0  0.30937  0.323240
     1121        4.4  0.30853  0.324113
     1238        4.8  0.31000  0.322580
     1369        5.3  0.30859  0.324053
     1513        5.9  0.30907  0.323556
     1672        6.5  0.30933  0.323276
     1848        7.2  0.30924  0.323372
     2043        8.0  0.30904  0.323581
     2258        8.8  0.30979  0.322803
     2495        9.7  0.30973  0.322858
     2758       10.8  0.30984  0.322746
     3048       11.9  0.30956  0.323041
     3369       13.2  0.31054  0.322019
     3723       14.5  0.30930  0.323306
     4115       16.1  0.30898  0.323641
     4548       17.8  0.31020  0.322377
     5026       19.6  0.30999  0.322591
     5555       21.7  0.30954  0.323059
     6140       24.0  0.31109  0.321454
     6786       26.5  0.31072  0.321829
     7500       29.3  0.30969  0.322908
     8289       32.4  0.31256  0.319936
     9161       35.8  0.31171  0.320806
    10125       39.6  0.31135  0.321181
    11190       43.7  0.31053  0.322030
    12367       48.3  0.31103  0.321511
    13668       53.4  0.31023  0.322345
    15106       59.0  0.31092  0.321629
    16696       65.2  0.31051  0.322046
    18452       72.1  0.31092  0.321623
    20394       79.7  0.31046  0.322101
    22539       88.0  0.31102  0.321527
    24911       97.3  0.31072  0.321830
    27532      107.5  0.31098  0.321564
    30429      118.9  0.31053  0.322032
    33630      131.4  0.31113  0.321409
    37168      145.2  0.31052  0.322036
    41079      160.5  0.31094  0.321603
    45401      177.3  0.31109  0.321446
    50177      196.0  0.31087  0.321678
    55456      216.6  0.31037  0.322198
    61291      239.4  0.31165  0.320876
    67740      264.6  0.31046  0.322101
    74867      292.4  0.31101  0.321531
    82743      323.2  0.31115  0.321385
    91449      357.2  0.31126  0.321277
   101070      394.8  0.31083  0.321716
   111704      436.3  0.31179  0.320732
   123456      482.2  0.31049  0.322070
   136445      533.0  0.31128  0.321250
   150800      589.1  0.31089  0.321659
   166666      651.0  0.31165  0.320868
   184201      719.5  0.31101  0.321528
   203581      795.2  0.31141  0.321119
   225000      878.9  0.31116  0.321376
   248672      971.4  0.31156  0.320964
   274835     1073.6  0.31091  0.321641
   303750     1186.5  0.31170  0.320818
   335708     1311.4  0.31106  0.321483
   371027     1449.3  0.31134  0.321195
   410063     1601.8  0.31140  0.321132
   453206     1770.3  0.31176  0.320757
   500888     1956.6  0.31091  0.321636
   553586     2162.4  0.31242  0.320077
   611829     2390.0  0.31193  0.320588
   676199     2641.4  0.31186  0.320660
   747342     2919.3  0.31283  0.319665
   825970     3226.4  0.31435  0.318120
   912870     3565.9  0.31163  0.320890
  1008913     3941.1  0.31489  0.317570
  1115061     4355.7  0.31518  0.317276
  1232376     4814.0  0.31549  0.316967
  1362035     5320.4  0.31448  0.317986
  1505334     5880.2  0.31568  0.316779
  1663710     6498.9  0.31492  0.317542
  1838749     7182.6  0.31494  0.317520
  2032203     7938.3  0.31567  0.316787
  2246011     8773.5  0.31527  0.317188
  2482314     9696.5  0.31584  0.316619
  2743478    10716.7  0.31575  0.316709
  3032119    11844.2  0.31589  0.316570
  3351127    13090.3  0.31601  0.316450
  3703699    14467.6  0.31578  0.316675
  4093365    15989.7  0.31593  0.316531
  4524027    17672.0  0.31562  0.316841
  5000000    19531.2  0.31608  0.316371


        N   size[kB]     t[s]  op_per_sec[10^9]
      250        1.0  0.30850  0.324147
      276        1.1  0.30812  0.324546
      305        1.2  0.30908  0.323541
      337        1.3  0.30870  0.323938
      373        1.5  0.30837  0.324289
      412        1.6  0.30904  0.323581
      455        1.8  0.30921  0.323401
      503        2.0  0.30946  0.323144
      556        2.2  0.30834  0.324317
      615        2.4  0.30955  0.323049
      679        2.7  0.30849  0.324159
      751        2.9  0.31029  0.322284
      830        3.2  0.30975  0.322844
      917        3.6  0.31219  0.320316
     1014        4.0  0.30866  0.323982
     1121        4.4  0.30932  0.323290
     1238        4.8  0.30905  0.323572
     1369        5.3  0.30926  0.323351
     1513        5.9  0.30874  0.323900
     1672        6.5  0.30931  0.323305
     1848        7.2  0.30829  0.324369
     2043        8.0  0.30951  0.323094
     2258        8.8  0.30925  0.323365
     2495        9.7  0.30884  0.323797
     2758       10.8  0.30909  0.323533
     3048       11.9  0.30874  0.323894
     3369       13.2  0.31632  0.316137
     3723       14.5  0.30899  0.323634
     4115       16.1  0.31029  0.322282
     4548       17.8  0.30941  0.323198
     5026       19.6  0.31294  0.319555
     5555       21.7  0.31296  0.319534
     6140       24.0  0.31530  0.317158
     6786       26.5  0.31372  0.318751
     7500       29.3  0.31316  0.319321
     8289       32.4  0.32513  0.307570
     9161       35.8  0.37589  0.266033
    10125       39.6  0.42298  0.236418
    11190       43.7  0.42899  0.233107
    12367       48.3  0.42777  0.233771
    13668       53.4  0.42700  0.234193
    15106       59.0  0.42728  0.234038
    16696       65.2  0.42656  0.234432
    18452       72.1  0.42635  0.234548
    20394       79.7  0.42726  0.234048
    22539       88.0  0.43352  0.230668
    24911       97.3  0.43318  0.230852
    27532      107.5  0.43281  0.231049
    30429      118.9  0.43439  0.230208
    33630      131.4  0.43811  0.228254
    37168      145.2  0.43669  0.228997
    41079      160.5  0.43536  0.229695
    45401      177.3  0.43626  0.229224
    50177      196.0  0.44278  0.225846
    55456      216.6  0.44784  0.223293
    61291      239.4  0.45480  0.219878
    67740      264.6  0.45673  0.218948
    74867      292.4  0.46141  0.216727
    82743      323.2  0.46290  0.216030
    91449      357.2  0.46498  0.215065
   101070      394.8  0.46985  0.212832
   111704      436.3  0.46784  0.213747
   123456      482.2  0.47025  0.212653
   136445      533.0  0.47231  0.211725
   150800      589.1  0.47579  0.210175
   166666      651.0  0.47527  0.210408
   184201      719.5  0.47687  0.209703
   203581      795.2  0.47870  0.208901
   225000      878.9  0.47677  0.209744
   248672      971.4  0.48631  0.205632
   274835     1073.6  0.47826  0.209090
   303750     1186.5  0.47771  0.209333
   335708     1311.4  0.47535  0.210373
   371027     1449.3  0.47633  0.209940
   410063     1601.8  0.47509  0.210487
   453206     1770.3  0.47783  0.209278
   500888     1956.6  0.47822  0.209110
   553586     2162.4  0.47839  0.209036
   611829     2390.0  0.47740  0.209469
   676199     2641.4  0.47967  0.208475
   747342     2919.3  0.48551  0.205969
   825970     3226.4  0.48672  0.205458
   912870     3565.9  0.48941  0.204328
  1008913     3941.1  0.49136  0.203517
  1115061     4355.7  0.49696  0.201225
  1232376     4814.0  0.50215  0.199144
  1362035     5320.4  0.51013  0.196028
  1505334     5880.2  0.52559  0.190262
  1663710     6498.9  0.52867  0.189155
  1838749     7182.6  0.55834  0.179103
  2032203     7938.3  0.55387  0.180549
  2246011     8773.5  0.56117  0.178199
  2482314     9696.5  0.58153  0.171962
  2743478    10716.7  0.57671  0.173396
  3032119    11844.2  0.58281  0.171581
  3351127    13090.3  0.59255  0.168762
  3703699    14467.6  0.59080  0.169262
  4093365    15989.7  0.59240  0.168805
  4524027    17672.0  0.60105  0.166377
  5000000    19531.2  0.59812  0.167189


