        N   size[kB]     t[s]  op_per_sec[10^9]
      250        1.0  0.30851  0.324138
      276        1.1  0.30932  0.323285
      305        1.2  0.30788  0.324802
      337        1.3  0.30898  0.323649
      373        1.5  0.31036  0.322205
      412        1.6  0.30998  0.322601
      455        1.8  0.30995  0.322634
      503        2.0  0.31076  0.321791
      556        2.2  0.31224  0.320268
      615        2.4  0.31002  0.322559
      679        2.7  0.31002  0.322563
      751        2.9  0.30996  0.322626
      830        3.2  0.30893  0.323695
      917        3.6  0.30970  0.322896
     1014        4.0  0.30946  0.323148
     1121        4.4  0.30847  0.324176
     1238        4.8  0.30929  0.323322
     1369        5.3  0.30936  0.323249
     1513        5.9  0.30920  0.323411
     1672        6.5  0.30917  0.323443
     1848        7.2  0.31014  0.322430
     2043        8.0  0.30848  0.324169
     2258        8.8  0.30964  0.322957
     2495        9.7  0.30978  0.322814
     2758       10.8  0.30910  0.323522
     3048       11.9  0.30949  0.323115
     3369       13.2  0.30945  0.323154
     3723       14.5  0.30944  0.323163
     4115       16.1  0.31016  0.322417
     4548       17.8  0.30953  0.323067
     5026       19.6  0.31058  0.321978
     5555       21.7  0.31088  0.321662
     6140       24.0  0.31121  0.321328
     6786       26.5  0.31192  0.320596
     7500       29.3  0.31244  0.320065
     8289       32.4  0.31640  0.316060
     9161       35.8  0.33763  0.296184
    10125       39.6  0.35548  0.281307
    11190       43.7  0.37071  0.269755
    12367       48.3  0.38781  0.257857
    13668       53.4  0.40015  0.249908
    15106       59.0  0.41060  0.243546
    16696       65.2  0.42074  0.237676
    18452       72.1  0.42933  0.232922
    20394       79.7  0.43710  0.228782
    22539       88.0  0.44588  0.224274
    24911       97.3  0.45411  0.220213
    27532      107.5  0.49046  0.203891
    30429      118.9  0.49591  0.201650
    33630      131.4  0.50379  0.198496
    37168      145.2  0.49693  0.201234
    41079      160.5  0.50119  0.199523
    45401      177.3  0.52047  0.192134
    50177      196.0  0.55121  0.181419
    55456      216.6  0.56965  0.175545
    61291      239.4  0.59907  0.166926
    67740      264.6  0.66036  0.151434
    74867      292.4  0.71565  0.139732
    82743      323.2  0.76998  0.129873
    91449      357.2  0.83343  0.119987
   101070      394.8  0.89267  0.112024
   111704      436.3  0.92827  0.107727
   123456      482.2  0.96838  0.103265
   136445      533.0  1.01169  0.098844
   150800      589.1  1.05414  0.094864
   166666      651.0  1.10024  0.090889
   184201      719.5  1.13120  0.088402
